Nombre,Precio,Enlace
Cerveza Becker Golden Premium Lager 5.0° 473 cc,$1.080,https://www.santaisabel.cl/cerv-becker-golden-lata-473cc-5-1937584/p
Cerveza Cusqueña Golden Lager 4.8° 330 cc,$1.100,https://www.santaisabel.cl/cerveza-cusquena-botella-355-cc-importada/p
Cerveza Kunstmann Pale Ale 5.2° 330 cc,$1.650,https://www.santaisabel.cl/cerveza-kunstmann-pale-ale-5-2-botella-330-cc-1924619/p
Cerveza Guayacán Golden Ale 4.5° 330 cc,$2.050,https://www.santaisabel.cl/cerveza-golden-ale-botella-330-cc-1540606/p
Cerveza Becker B-Mix Lager 4.2° 354 cc,$950,https://www.santaisabel.cl/cerv-becker-b-mix-lata-354cc-4-2-g-1967692/p
Cerveza Kunstmann Lager Sin filtrar 5.0° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-sin-filtrar-5-0-botella-330-cc-946607/p
Cerveza Dolbek Lager 4.5° 330 cc,$2.090,https://www.santaisabel.cl/cerveza-dolbek-belga-330-cc/p
Cerveza Kross Maibock 6.5° 330 cc,$1.950,https://www.santaisabel.cl/cerveza-maibock-botella-330-cc-1056411/p
Cerveza Kunstmann Rubia Lager 8.0° 330 cc,$1.950,https://www.santaisabel.cl/cerveza-rubia-botella-330-cc-263609/p
Cerveza Austral Torres del Paine Lager 6.1° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-torres-del-paine-355-ml/p
Cerveza Kross Pils 5.1° 330 cc,$1.950,https://www.santaisabel.cl/cerveza-lager-botella-330-cc-912256/p
Cerveza Royal Guard Golden Lager 4.5° 355 cc,$1.250,https://www.santaisabel.cl/cerveza-royal-golden-bot-355cc-4-5-g-1966563/p
Cerveza Estrella Damm Lager 5.4° 330 cc,$1.190,https://www.santaisabel.cl/cerveza-estela-damm-lata-330-ml/p
Cerveza Kunstmann Torobayo Pale Ale 5.0° 330 cc,$2.050,https://www.santaisabel.cl/cerveza-torobayo-botella-330-cc-1504127/p
Cerveza Kross Krossout Ale 4.2° 330 cc,$1.850,https://www.santaisabel.cl/cerveza-krossout-4-2-botella-330-cc-1836668/p
Cerveza Royal Guard Premium Lager 5.0° 355 cc,$1.250,https://www.santaisabel.cl/cerveza-premium-lager-botella-355-cc-263658/p
Cerveza Stones Sensation Fruit Beer 6.0° 269 cc,$1.110,https://www.santaisabel.cl/cerveza-sensation-lata-269-cc-1926627/p
Cerveza Sol Lager 4.5° 330 cc,$1.250,https://www.santaisabel.cl/cerveza-original-botella-330-cc-263665/p
Cerveza Cristal Lager 4.6° 350 cc,$1.040,https://www.santaisabel.cl/cerveza-lager-lata-350-cc-263535/p
Cerveza Royal Guard Premium Lager 5.0° 350 cc,$1.220,https://www.santaisabel.cl/cerveza-lager-lata-350-cc-263660/p
Cerveza Royal Dutch Lager 5.0° 500 cc,$1.290,https://www.santaisabel.cl/cerv-royal-dutch-lager-5-lata-500cc-1979084/p
Cerveza Austral Patagona Pale Ale 5.0° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-patagonia-pale-ale-botella-330-cc-632926/p
Cerveza Imperial Lager 4.6° 330 cc,$1.240,https://www.santaisabel.cl/cerveza-4-6-botella-330-cc-1862120/p
Cerveza Kross 5 Amber Ale 7.2° 330 cc,$2.450,https://www.santaisabel.cl/cerveza-kross-5-aniversario-330-cc-1226452/p
Cerveza Royal Guard Amber Ale 6.3° 355 cc,$1.420,https://www.santaisabel.cl/cerveza-amber-ale-botella-355-cc-1852555/p
Cerveza Patagonia Hoppy Lager 4.8° 330 cc,$1.590,https://www.santaisabel.cl/cer-patagonia-hoppy-bot-330cc-4-8-1992164/p
Cerveza Austral Yagan Dark Ale 6.0° 330 cc,$2.150,https://www.santaisabel.cl/cerveza-yagan-dark-ale-botella-330-cc-712099/p
Cerveza Patagonia Red Lager 5.0° 330 cc,$1.590,https://www.santaisabel.cl/cer-patagonia-red-bot-330cc-hoppy-5-1992165/p
Cerveza Kunstmann Ipa 5.0° 330 cc,$2.250,https://www.santaisabel.cl/cerveza-ipa-botella-330-cc/p
Cerveza Quilmes Lager 4.9° 300 cc,$850,https://www.santaisabel.cl/cerveza-quilmes-botella-4-9-300-cc/p
Cerveza Volcanes del Sur Bock Chocolate 5.0° 350 cc,$1.550,https://www.santaisabel.cl/cerveza-bock-volcanes-botella-350-cc-sabor-chocolate/p
Cerveza Cusqueña Golden Lager botella 620 cc,$1.000,https://www.santaisabel.cl/cerveza-golden-lager-botella-620-cc-1562637/p
